"ident","iata_code","name","municipality","iso_country","iso_region"
"6MO6","","Winter Field","Owensville","US","US-MO"
"6MO7","","Riverside Landings Airport","Ozark","US","US-MO"
"6MS1","","Woodbridge Airport","Brandon","US","US-MS"
"6MS2","","Wells Farm Airport","Crystal Springs","US","US-MS"
"6MS6","","Kaehr Airport","Brandon","US","US-MS"
"6MU4","","Flying Shamrock Airport","Mexico","US","US-MO"
"6MU5","","Carp Farms Airport","Norborne","US","US-MO"
"6MU9","","Craddock Field","Licking","US","US-MO"
"6NA0","","Strom Private Airport","Columbus","US","US-ND"
"6NA5","","Chase Airstrip","Hebron","US","US-ND"
"6NA6","","Marsh Brothers Airstrip","Newburg","US","US-ND"
"6NA7","","Kersten Brothers Airport","Newburg","US","US-ND"
"6NC0","","Cox-Grantham Airfield","Grantham","US","US-NC"
"6NC1","","Little Mountain Airport","Denver","US","US-NC"
