"ident","iata_code","name","municipality","iso_country","iso_region"
"00AA","","Aero B Ranch Airport","Leoti","US","US-KS"
"00AK","","Lowell Field","Anchor Point","US","US-AK"
"00AL","","Epps Airpark","Harvest","US","US-AL"
"00AN","","Katmai Lodge Airport","King Salmon","US","US-AK"
"00AS","","Fulton Airport","Alex","US","US-OK"
"00AZ","","Cordes Airport","Cordes","US","US-AZ"
"00CA","","Goldstone (GTS) Airport","Barstow","US","US-CA"
"00CL","","Williams Ag Airport","Biggs","US","US-CA"
"00FA","","Grass Patch Airport","Bushnell","US","US-FL"
"00FL","","River Oak Airport","Okeechobee","US","US-FL"
"00GA","","Lt World Airport","Lithonia","US","US-GA"
"00ID","","Delta Shores Airport","Clark Fork","US","US-ID"
"00IG","","Goltl Airport","McDonald","US","US-KS"
"00IL","","Hammer Airport","Polo","US","US-IL"
"00IS","","Hayenga's Cant Find Farms Airport","Kings","US","US-IL"
"00KS","","Hayden Farm Airport","Gardner","US","US-KS"
"00KY","","Robbins Roost Airport","Stanford","US","US-KY"
"00LS","","Lejeune Airport","Crowley","US","US-LA"
"00MD","","Slater Field","Federalsburg","US","US-MD"
"00MN","","Battle Lake Municipal Airport","Battle Lake","US","US-MN"
"00MO","","Cooper Flying Service Airport","Alba","US","US-MO"
"00N","","Bucks Airport","Bridgeton","US","US-NJ"
"00NC","","North Raleigh Airport","Louisburg","US","US-NC"
"00NY","","Weiss Airfield","West Bloomfield","US","US-NY"
"00OK","","Gull Bay Landing Airport","Sandsprings","US","US-OK"
"00PN","","Ferrell Field","Mercer","US","US-PA"
"00S","","McKenzie Bridge State Airport","Blue River","US","US-OR"
"00SC","","Flying O Airport","Sumter","US","US-SC"
"00SD","","Homan Field","Gary","US","US-SD"
"00TS","","Alpine Range Airport","Everman","US","US-TX"
"00TT","","Nowhere Airport","Goodlett","US","US-TX"
"00VA","","Vaughan Airport","Alton","US","US-VA"
"00VI","","Groundhog Mountain Airport","Hillsville","US","US-VA"
"00W","","Lower Granite State Airport","Colfax","US","US-WA"
"00WA","","Howell Airport","Longbranch","US","US-WA"
"00WI","","Northern Lite Airport","Waupaca","US","US-WI"
"00WN","","Hawks Run Airport","Asotin","US","US-WA"
"00WV","","Lazy J. Aerodrome","Beverly","US","US-WV"
"00XA","","Weeski Ranch Airport","","US","US-TX"
"01A","","Purkeypile Airport","Purkeypile","US","US-AK"
"01AL","","Ware Island Airport","Clanton","US","US-AL"
"01AN","","McHone Heights Airport","Wasilla","US","US-AK"
"01CL","","Swansboro Country Airport","Placerville","US","US-CA"
"01FA","","Rybolt Ranch Airport","Orlando","US","US-FL"
"01FL","","Cedar Knoll Flying Ranch Airport","Geneva","US","US-FL"
"01GE","","The Farm Airport","Wrightsville","US","US-GA"
"01ID","","Lava Hot Springs Airport","Lava Hot Springs","US","US-ID"
"01II","","Myers Field","Lizton","US","US-IN"
"01IS","","William E. Koenig Airport","Dow","US","US-IL"
"01J","","Hilliard Airpark","Hilliard","US","US-FL"
"01K","","Caldwell Municipal Airport","Caldwell","US","US-KS"
"01KS","","Flying N Ranch Airport","Lost Springs","US","US-KS"
"01LA","","Barham Airport","Oak Ridge","US","US-LA"
"01LL","","Schumaier Restricted Landing Area","Pinckneyville","US","US-IL"
"01LS","","Country Breeze Airport","Slaughter","US","US-LA"
"01MT","","Crystal Lakes Resort Airport","Fortine","US","US-MT"
"01NC","","Topsail Airpark","Holly Ridge","US","US-NC"
"01NH","","Moore Airfield","Canaan","US","US-NH"
"01NM","","Champion Ranch Airport","Lake Arthur","US","US-NM"
"01NV","","Lantana Ranch Airport","Yerington","US","US-NV"
"01OL","","Spring Creek Ranch East Airport","Tishomingo","US","US-OK"
"01PN","","Bierly(Personal Use) Airport","Bellefonte","US","US-PA"
"01PS","","Nort's Resort Airport","Meshoppen","US","US-PA"
"01SC","","York Airport","York","US","US-SC"
"01TE","","Smith Field","Forney","US","US-TX"
"01TN","","Colonial Air Park","Collierville","US","US-TN"
"01U","","Duckwater Airport","Duckwater","US","US-NV"
"01UT","","La Sal Junction Airport","La Sal","US","US-UT"
"01VA","","Pickles Airport","Berryville","US","US-VA"
"01WY","","Keyhole Airport","Pine Haven","US","US-WY"
"02AA","","Barefoot Airport","Big Lake","US","US-AK"
"02AK","","Rustic Wilderness Airport","Willow","US","US-AK"
"02AL","","Bass Field","Foley","US","US-AL"
"02AN","","Emerald Ridge Airport","Homer","US","US-AK"
"02CD","","Shannon Field","Clarksdale","US","US-MS"
"02CL","","Conover Air Lodge Airport","Frazier Park","US","US-CA"
"02CO","","Mc Cullough Airport","Monte Vista","US","US-CO"
"02FA","","Osborn Airfield","Groveland","US","US-FL"
"02FD","","Triple R Ranch Airport","Baker","US","US-FL"
"02GA","","Doug Bolton Field","Commerce","US","US-GA"
"02GE","","Etowah Fields Airport","Euharlee","US","US-GA"
"02ID","","Morgan Ranch Airport","Cascade","US","US-ID"
"02II","","King Ultralightport","Westfield","US","US-IN"
"02IN","","Diamond P. Field","Muncie","US","US-IN"
"02KS","","JMJ Landing Airport","Saint Marys","US","US-KS"
"02MD","","Garner Field","Brandywine","US","US-MD"
"02ME","","Nadeau's Airfield","Acton","US","US-ME"
"02MI","","Fairplains Airpark","Greenville","US","US-MI"
"02MO","","Troy Airpark","Troy","US","US-MO"
"02MS","","Watts Field","Rochdale","US","US-MS"
"02NE","","Benes Service Airport","Valparaiso","US","US-NE"
"02NM","","FFR Animas Landing Strip","Animas","US","US-NM"
"02NV","","Paiute Meadows Airport","Winnemucca","US","US-NV"
"02OH","","Zimmerman Airport","Fremont","US","US-OH"
"02OI","","Murtha Airport","Conneaut","US","US-OH"
"02OR","","Rowena Dell Airport","The Dalles","US","US-OR"
"02PR","","Cuylers Airport","Vega Baja","PR","PR-U-A"
"02SC","","Harpers Airport","Estill","US","US-SC"
"02T","","Wise River Airport","Wise River","US","US-MT"
"02TN","","Ellis Field","Rockvale","US","US-TN"
"02UT","","Lucin Airport","Lucin","US","US-UT"
"02VA","","The Greenhouse Airport","Culpeper","US","US-VA"
"02WA","","Cawleys South Prairie Airport","South Prairie","US","US-WA"
"02WI","","Beer Airport","Hudson","US","US-WI"
"02WN","","Fowler Field","Tonasket","US","US-WA"
"02XA","","JLS Farms Airport","Honey Grove","US","US-TX"
"03AZ","","Thompson International Aviation Airport","Hereford","US","US-AZ"
"03FA","","Lake Persimmon Airstrip","Lake Placid","US","US-FL"
"03GA","","HIA Airport","Statesboro","US","US-GA"
"03ID","","Flying Y Ranch Airport","Council","US","US-ID"
"03II","","Davis Field Ultralightport","Mount Vernon","US","US-IN"
"03IL","","Wix Airport","Monee","US","US-IL"
"03IN","","Heinzman Airport","Arcadia","US","US-IN"
"03KY","","Flying H Farms Airport","Henderson","US","US-KY"
"03MA","","Hadley Airport","Hadley","US","US-MA"
"03ME","","Maple Ridge Airport","Harrison","US","US-ME"
"03MN","","Nauerth Land Ranch Airport","Lakefield","US","US-MN"
"03MT","","Cascade Field","Cascade","US","US-MT"
"03MU","","McDonnell Airport","Archie","US","US-MO"
"03N","UTK","Utirik Airport","Utirik Island","MH","MH-UTI"
"03NC","","Pilots Ridge Airport","Carolina Beach","US","US-NC"
"03ND","","Olafson Brothers Airport","Edinburg","US","US-ND"
"03NE","","Hyde Ranch Airport","Comstock","US","US-NE"
"03NV","","Llama Ranch Airport","Ruby Valley","US","US-NV"
"03NY","","Talmage Field","Riverhead","US","US-NY"
"03OH","","Gibbs Field","Fremont","US","US-OH"
"03OK","","Sahoma Lake Airport","Sapulpa","US","US-OK"
"03OL","","Bluebird Airport","Alex","US","US-OK"
"03OR","","Powwatka Ridge Airport","Troy","US","US-OR"
"03PR","","Sun View Field Airport","Bonner Springs","US","US-KS"
"03S","","Sandy River Airport","Sandy","US","US-OR"
"03TE","","Barronena Ranch Airport","Hebbronville","US","US-TX"
"03TT","","Brazos Polo Airport","Orchard","US","US-TX"
"03UT","","AZ Minerals Corporation Airport","Mexican Hat","US","US-UT"
"03WA","","Spangle Field","Spangle","US","US-WA"
"03WN","","Aerostone Ranch Airport","Goldendale","US","US-WA"
"03XS","","Creekside Airport","Mertzon","US","US-TX"
"04AA","","Flying W Ranch Airport","Soldotna","US","US-AK"
"04AN","","North 40 Airport","Sutton","US","US-AK"
"04CA","","Gray Butte Field","Palmdale","US","US-CA"
"04CL","","Hunt's Sky Ranch Airport","Julian","US","US-CA"
"04FA","","Richards Field","Homestead","US","US-FL"
"04FL","","Cross Creek Farms Airport","Ormond Beach","US","US-FL"
"04I","","Columbus Southwest Airport","Columbus","US","US-OH"
"04IA","","Middlekoop Airport","Packwood","US","US-IA"
"04ID","","Lanham Field","Emmett","US","US-ID"
"04IL","","Schertz Aerial Service - Hudson Airport","Hudson","US","US-IL"
"04IS","","Van Gorder Airport","Mansfield","US","US-IL"
"04KY","","Natchez Trace Farm Airport","Hiseville","US","US-KY"
"04MA","","Goddard Field","Haverhill","US","US-MA"
"04ME","","Beech Hill Airport","Mercer","US","US-ME"
"04MI","","Rapids Airway Airport","Eaton Rapids","US","US-MI"
"04MN","","Helblad Airport","Kelliher","US","US-MN"
"04MS","","Nick's Flying Service Inc Airport","Rolling Fork","US","US-MS"
"04MT","","Pluhar Airport","Cohagen","US","US-MT"
"04NE","","Mc Connell Field Airport","Sarben","US","US-NE"
"04NJ","","Emmanuel Airport","Elmer","US","US-NJ"
"04NV","","Kingston Ranch Airport","Sandy Valley","US","US-NV"
"04NY","","Klaverack Airport","Hudson","US","US-NY"
"04OR","","Collins Landing Strip","Mitchell","US","US-OR"
"04TN","","Hensley Airpark","Chuckey","US","US-TN"
"04TT","","4D Ranch Airport","Utopia","US","US-TX"
"04TX","","Pocock Airport","China Spring","US","US-TX"
"04UT","","Navajo Mountain Airport","Navajo Mountain","US","US-UT"
"04V","","Saguache Municipal Airport","Saguache","US","US-CO"
"04VG","","Manquin Flight Park Ultralightport","Manquin","US","US-VA"
"04VT","","Lightning Bolt Field Airport","Cabot","US","US-VT"
"04W","","Field of Dreams Airport","Hinckley","US","US-MN"
"04WA","","Ox Meadows Airport","Spokane","US","US-WA"
"04WI","","Dutch Gap Airstrip","Bristol","US","US-WI"
"04WN","","Stillwater Creek Airport","Royal City","US","US-WA"
"04XA","","Pecan Field","Jermyn","US","US-TX"
"05AK","","Wasilla Creek Airpark","Palmer","US","US-AK"
"05AN","","Wetons Aerodrome","Fox","US","US-AK"
"05AR","","Ozark Skies Airpark","Kingston","US","US-AR"
"05CL","","Pope Valley Airport","Pope Valley","US","US-CA"
"05CO","","Rancho de Aereo Airport","Mead","US","US-CO"
"05FA","","Melanie's Airport","Florala","US","US-FL"
"05FL","","Charlton Strip","La Belle","US","US-FL"
"05GA","","Raju Airport","Richland","US","US-GA"
"05IA","","Spotts Field","Nora Springs","US","US-IA"
"05ID","","Running Creek Ranch Airport","Elk City","US","US-ID"
"05IL","","Classic Landings Airport","Bonfield","US","US-IL"
"05IN","","Cooper Airport","Belleville","US","US-IN"
"05IS","","Hardy Airport","Mount Auburn","US","US-IL"
"05KS","","Darbro Field","Elk City","US","US-KS"
"05KT","","High Point Farm Airport","Frankfort","US","US-KY"
"05KY","","Cartersville Airport","Paint Lick","US","US-KY"
"05LA","","Greg's Flying Service Airport","Winnsboro","US","US-LA"
"05LS","","Grass Roots Airport","Alexandria","US","US-LA"
"05MD","","Breezecroft Airport","Chestertown","US","US-MD"
"05ME","","Drisko Airport","Jonesboro","US","US-ME"
"05MT","","Jones Landing Airport","Belgrade","US","US-MT"
"05NE","","Mc Kay Airport","Spalding","US","US-NE"
"05NR","","Gary Fox Airport","Mebane","US","US-NC"
"05NV","","Baker Ranches Airport","Baker","US","US-NV"
"05OH","","Eaglecrest Field","Conesville","US","US-OH"
"05OI","","Dorlon Airpark","Columbia Station","US","US-OH"
"05OR","","Peacock Ranch Airport","Enterprise","US","US-OR"
"05PS","","Mills Brothers Airport","Neelyton","US","US-PA"
"05S","","Vernonia Airfield","Vernonia","US","US-OR"
"05TA","","Brandes Air Field","Sealy","US","US-TX"
"05TE","","Hilde-Griff Field","Georgetown","US","US-TX"
"05TS","","Dew Drop Airport","Justin","US","US-TX"
"05TX","","Circle A Ranch Airport","Blum","US","US-TX"
"05V","","Blanca Airport","Blanca","US","US-CO"
"05VA","","Providence Airport","Farmville","US","US-VA"
"05WI","","Ames Private Airport","Darien","US","US-WI"
"05WN","","Flat Creek Field","Kettle Falls","US","US-WA"
"05XS","","Johnson Memorial Airport","Wilmot","US","US-AR"
"05Y","","Henning Municipal Airport","Henning","US","US-MN"
"06AA","","Twisted Sisters Airport","Sterling","US","US-AK"
"06AK","","June Lake Airpark","Wasilla","US","US-AK"
"06AR","","Bondair Airport","Higden","US","US-AR"
"06CO","","Jecan Airport","Branson","US","US-CO"
"06FA","","William P Gwinn Airport","Jupiter","US","US-FL"
"06FD","","Grass Roots Airpark","Mascotte","US","US-FL"
"06IA","","Rich Field","Walford","US","US-IA"
"06ID","","Larkin Airport","Kuna","US","US-ID"
"06IL","","Humm Airport","Earlville","US","US-IL"
"06IS","","Sinele Strip","Nauvoo","US","US-IL"
"06MO","","Noahs Ark Airport","Waldron","US","US-MO"
"06MT","","Torgerson Airport","Ethridge","US","US-MT"
"06N","","Randall Airport","Middletown","US","US-NY"
"06NC","","Tailwinds Airport","St. Pauls","US","US-NC"
"06ND","","Fitterer's Strip","Glen Ullin","US","US-ND"
"06NH","","Cole Farm Airport","Kensington","US","US-NH"
"06NV","","Silver Creek Airport","Baker","US","US-NV"
"06NY","","Murphy Field","Auburn","US","US-NY"
"06OH","","Hal Joy Airfield","Williamsfield","US","US-OH"
"06OI","","Green Acres Airport","New Lebanon","US","US-OH"
"06OR","","Hayden Mountain Airport","Forest Grove","US","US-OR"
"06PA","","Freefall Oz Airport","Ceres","US","US-PA"
"06TA","","Glaser Field","Buckholts","US","US-TX"
"06TE","","Ainsworth Airport","Cleveland","US","US-TX"
"06TN","","Hunter Airport","Columbia","US","US-TN"
"06TT","","6 Mile Airpark","Fort McKavett","US","US-TX"
"06TX","","Diamond N Ranch Airport","Hockley","US","US-TX"
"06VA","","Mount Horeb Field","Grottoes","US","US-VA"
"06WN","","Western Airpark","Yelm","US","US-WA"
"06XA","","J & W Windy Hill Airport","Van Alstyne","US","US-TX"
"06XS","","Campbell Field","Aubrey","US","US-TX"
"06Y","","Herman Municipal Airport","Herman","US","US-MN"
"07AA","","Pan Lake Strip Airport","Willow","US","US-AK"
"07AN","","Bro Majors Airfield","Trapper Creek","US","US-AK"
"07AR","","Morrilton Airport","Morrilton","US","US-AR"
"07B","","Blue Hill Airport","Blue Hill","US","US-ME"
"07CL","","Richvale Airport","Richvale","US","US-CA"
"07CO","","Comanche Creek Airport","Kiowa","US","US-CO"
"07FA","OCA","Ocean Reef Club Airport","Key Largo","US","US-FL"
"07GA","","Alcovy Airport","Covington","US","US-GA"
"07GE","","Pope Pate Field","Ocilla","US","US-GA"
"07IA","","Hoskins Landing","Shambaugh","US","US-IA"
"07IN","","Gray Airport","Boggstown","US","US-IN"
"07K","","Central City Municipal - Larry Reineke Field","Central City","US","US-NE"
"07KS","","Heape Field","Augusta","US","US-KS"
"07KY","","Blue Lick Airport","Louisville","US","US-KY"
"07MD","","Baugher's Orchard Airport","Westminster","US","US-MD"
"07MI","","Scott Airstrip","Lake","US","US-MI"
"07MN","","Dairyview Airport","Hadley","US","US-MN"
"07MO","","Lake Sexton Airport","Warrensburg","US","US-MO"
"07MT","","Glasgow Industrial Airport","Glasgow","US","US-MT"
"07N","","Bermudian Valley Airpark","Washington Township","US","US-PA"
"07NC","","Hawks Meadow Airport","Waxhaw","US","US-NC"
"07NV","","Border Line Farm Airport","Baker","US","US-NV"
"07OK","","Pleasant Valley Airport","Snyder","US","US-OK"
"07OR","","Bruce's Airport","Milwaukie","US","US-OR"
"07PN","","Folmar Airport","Grassflat","US","US-PA"
"07TA","","Salaika Aviation Airport","Danbury","US","US-TX"
"07TS","","Cross-Country Estates Airport","Hutto","US","US-TX"
"07UT","","E Northrop Grumman Airport","Howell","US","US-UT"
"07VA","","Alpha Hotel Airport","Clover","US","US-VA"
"07VT","","Meadow STOLport","Jericho","US","US-VT"
"07WY","","Stallions Airport","Sheridan","US","US-WY"
"07Y","","Hill City-Quadna Mountain Airport","Hill City","US","US-MN"
"08AK","","Fisher Airport","Big Lake","US","US-AK"
"08AN","","Base Camp Airstrip","Palmer","US","US-AK"
"08B","","Merrymeeting Field","Bowdoinham","US","US-ME"
"08CL","","Kistler Ranch Airport","Jamestown","US","US-CA"
"08CO","","Terra Firma Airport","Rush","US","US-CO"
"08F","","City of Coalgate Airport","Coalgate","US","US-OK"
"08FA","","Duda Airstrip","La Belle","US","US-FL"
"08FD","","Sunniland Ranch Airport","Okeechobee","US","US-FL"
"08FL","","J. H. Hendrie Farms Airport","Lake Placid","US","US-FL"
"08GA","","Sapelo Island Airport","Darien","US","US-GA"
"08ID","","Symms Airport","Marsing","US","US-ID"
"08IS","","Hemmer RLA Restricted Landing Area","Du Quoin","US","US-IL"
"08KS","","Alderson Airport","Bennington","US","US-KS"
"08KY","","Boss Airport","Burnside","US","US-KY"
"08LL","","Sauer Airport","Dwight","US","US-IL"
"08LS","","Aeleron Airport","Sunset","US","US-LA"
"08MA","","Wormid Airport","Southborough","US","US-MA"
"08ME","","Lindbergh Airport","Avon","US","US-ME"
"08MO","","Twin Oaks Airport","Jasper","US","US-MO"
"08MS","","Midsouth Airpark","Coldwater","US","US-MS"
"08MT","","Matovich Airport","Grass Range","US","US-MT"
"08N","","Keller Brothers Airport","Lebanon","US","US-PA"
"08NC","","Whiteheart Farm Airport","Lewisville","US","US-NC"
"08ND","","Brecht Strip","Golden Valley","US","US-ND"
"08NE","","Laurel Municipal Airport","Laurel","US","US-NE"
"08NR","","Bell Mountain Airport","Zirconia","US","US-NC"
"08NY","","Md1 Airport","Middletown","US","US-NY"
"08OH","","Kenley Airport","Hartford","US","US-OH"
"08OK","","Parks Airport","Wilburton","US","US-OK"
"08OL","","Broken B Airport","Hydro","US","US-OK"
"08OR","","Saxon Sycan Airport","Summer Lake","US","US-OR"
"08R","","Richmond Airport","West Kingston","US","US-RI"
"08TN","","PTC Airport","Fayetteville","US","US-TN"
"08TT","","LZ Tango Charlie Airport","Fredericksburg","US","US-TX"
"08TX","","Cross Wind Airport","Weatherford","US","US-TX"
"08U","","Stevens-Crosby Airport","Elko","US","US-NV"
"08UT","","Pinelodge Runway","La Sal","US","US-UT"
"08VA","","Springwood Airstrip","Buchanan","US","US-VA"
"08XA","","Knolle Ranch Airport","Snook","US","US-TX"
"08XS","","Peterson Airport","Old Ocean","US","US-TX"
"09AK","","West Beaver Airport","Big Lake","US","US-AK"
"09AZ","","Stronghold Airport","St David","US","US-AZ"
"09CL","","Alta Sierra Airport","Grass Valley","US","US-CA"
"09CO","","Cottonwood Field","Rocky Ford","US","US-CO"
"09FA","","Placid Lakes Airport","Lake Placid","US","US-FL"
"09FD","","Cheryl-Lane Landings Airport","Bushnell","US","US-FL"
"09GA","","Sunbelt Strip","Moultrie","US","US-GA"
"09IA","","Skydive Iowa Airport","Brooklyn","US","US-IA"
"09ID","","Taylor Ranch Landing Area Airport","Moscow","US","US-ID"
"09II","","Gibbons Field","Valeene","US","US-IN"
"09IN","","Gordon Airport","Columbia City","US","US-IN"
"09KS","","Coffman Airport","Wellsville","US","US-KS"
"09LL","","Pine Hill Airport","Capron","US","US-IL"
"09MA","","Kallander Field","Southborough","US","US-MA"
"09ME","","Perrotti Skyranch Airfield","Berwick","US","US-ME"
"09MO","","Hogue Farm Airport","Willard","US","US-MO"
"09MT","","Paint Creek Ranch Airport","Sula","US","US-MT"
"09N","","Airhaven Airport","Staatsburg","US","US-NY"
"09NC","","William Irving Lewis Airport","Broadway","US","US-NC"
"09NE","","Summer Hill Farm Airport","Bennington","US","US-NE"
"09NR","","Dakota Air Ranch Airport","Ramseur","US","US-NC"
"09OK","","Ragtime Aerodrome","Collinsville","US","US-OK"
"09PA","","Eagle Field","Port Matilda","US","US-PA"
"09S","","Sullivan Lake State Airport","Metaline Falls","US","US-WA"
"09TA","","Lazy G Bar Ranch Airport","Decatur","US","US-TX"
"09TE","","Running M Ranch Airport","Glen Rose","US","US-TX"
"09TS","","Pitcock Rosillos Mountain Ranch Airport","Marathon","US","US-TX"
"09TX","","Smokey Mountain Ranch Airport","Sheffield","US","US-TX"
"09VA","","Alum Ridge STOLport","Floyd","US","US-VA"
"09WI","","Parkway Farm Strip","Holmen","US","US-WI"
"0AA7","","Kalifornsky Meadows Airport","Kenai","US","US-AK"
"0AK0","","Scotts Airport","Salcha","US","US-AK"
"0AK1","","Anderson Lake Airport","Wasilla","US","US-AK"
"0AK2","","Yentna Bend Strip","Willow","US","US-AK"
"0AK3","","Parker Lake Airport","Montana Creek","US","US-AK"
"0AK5","","Young Creek Airport","May Creek","US","US-AK"
"0AK6","","Victory Airport","Victory Bible Camp","US","US-AK"
"0AK7","","Bradley Lake Hydroelectric Project Airstrip","Homer","US","US-AK"
"0AK9","","Falcon Lake Strip","Point Mackenzie","US","US-AK"
"0AL1","","Resort Airport","Foley","US","US-AL"
"0AL5","","Flomaton Airport","Flomaton","US","US-AL"
"0AL9","","Wilson Creek Airport","Florence","US","US-AL"
"0AR2","","Mission Field-Marotti Memorial Airport","Crawfordsville","US","US-AR"
"0AZ2","","Western Sky Airport","Salome","US","US-AZ"
"0AZ4","","Flying Bucket Ranch Airport","Maricopa","US","US-AZ"
"0AZ5","","Castle Well Airport","Morristown","US","US-AZ"
"0B2","","Brewer Airport","Brewer","US","US-ME"
"0B7","","Warren-Sugarbush Airport","Warren","US","US-VT"
"0C1","","Triple R Airport","Dearborn","US","US-MO"
"0C2","","Hinckley Airport","Hinckley","US","US-IL"
"0C5","","Canadian Lakes Airport","Canadian Lakes","US","US-MI"
"0C7","","Grandpas' Farm Mendota Airport","Mendota","US","US-IL"
"0C8","","Cushing Field Ltd Airport","Newark","US","US-IL"
"0CA3","","Crawford Airport","Santa Ynez","US","US-CA"
"0CA4","","Shepherd Farm Airport","Santa Ynez","US","US-CA"
"0CA5","","Hoffman Private Airport","Santa Ysabel","US","US-CA"
"0CA6","","Emory Ranch Airport","Ocotillo","US","US-CA"
"0CA9","","Blech Ranch Airport","Shandon","US","US-CA"
"0CD2","","Foxx Valley Airport","Yoder","US","US-CO"
"0CD5","","Piñon Canyon Airport","Model","US","US-CO"
"0CD7","","Fox Hole Airport","Lafayette","US","US-CO"
"0CL0","","Yosemite Hidden Lake Ranch Airport","Raymond","US","US-CA"
"0CL1","","Krey Field Airport","Adelanto","US","US-CA"
"0CL3","","John Nichols Field Airport","Jamul","US","US-CA"
"0CL6","","Bohunk's Airpark","Lancaster","US","US-CA"
"0CL8","","Tera Ultralightport","Ridgecrest","US","US-CA"
"0CN1","","Fiorini Ranch Airport","Delhi","US","US-CA"
"0CN2","","Sutter Butte Dusters Airport","Live Oak","US","US-CA"
"0CO1","","Dave's Airport","Louisville","US","US-CO"
"0CO2","CSE","Crested Butte Airpark","Crested Butte","US","US-CO"
"0CO6","","Flying M & M Ranch Airport","Norwood","US","US-CO"
"0CO8","","Cartwheel Airport","Mead","US","US-CO"
"0CO9","","Van Treese Airport","Monte Vista","US","US-CO"
"0D7","","Ada Airport","Ada","US","US-OH"
"0D9","","Air Park North","Elmira","US","US-MI"
"0E9","","Corydon Airport","Corydon","US","US-IA"
"0FA1","","Ott's Landing Airport","Arcadia","US","US-FL"
"0FD0","","The 2A Ranch Airport","Ormond Beach","US","US-FL"
"0FD3","","Dugger Field","Freeport","US","US-FL"
"0FD5","","Breezy Knoll Airport","Defuniak Springs","US","US-FL"
"0FD9","","Joy Farms Airport","Defuniak Springs","US","US-FL"
"0FL0","","Harper's Fly-In Ranch Airport","Clewiston","US","US-FL"
"0FL6","","Stanchester Airport","Lithia","US","US-FL"
"0FL9","","Mc Daniel Ranch Inc. Airport","Clewiston","US","US-FL"
"0G0","","North Buffalo Suburban Airport","Lockport","US","US-NY"
"0GA0","","Halls Flying Ranch Airport","Hampton","US","US-GA"
"0GA1","","Mustang Field","Hartwell","US","US-GA"
"0GA2","","Airnautique, Inc. Airport","Hartwell","US","US-GA"
"0GA3","","Ayresouth Airport","Temple","US","US-GA"
"0GA4","","Paradise Falls Airport","Good Hope","US","US-GA"
"0GA6","","Sunset Strip","Jersey","US","US-GA"
"0GA8","","Paso Fino Farm Airport","Valdosta","US","US-GA"
"0GA9","","Roberta Industrial Park Airport","Roberta","US","US-GA"
"0GE0","","Pinewood Airport","Douglasville","US","US-GA"
"0GE1","","Crystal Lake Airpark","Irwinville","US","US-GA"
"0GE3","","Lookout Mountain Airport","Wildwood","US","US-GA"
"0GE4","","Pecan Patch Airstrip","Sunnyside","US","US-GA"
"0GE5","","Mountain Airpark","Cleveland","US","US-GA"
"0GE7","","Carpenter Airport","Appling","US","US-GA"
"0GE9","","Pegasus Ranch Airport","Rocky Ford","US","US-GA"
"0H7","","Kahoka Municipal Airport","Kahoka","US","US-MO"
"0I2","","Brazil Clay County Airport","Brazil","US","US-IN"
"0IA4","","Sharar Field","Mediapolis","US","US-IA"
"0IA5","","Moore Private Airport","Millerton","US","US-IA"
"0IA8","","Hannen Airport","Center Point","US","US-IA"
"0ID0","","South Fork Ranch Airport","Featherville","US","US-ID"
"0ID1","","Ziggy's Airport","Filer","US","US-ID"
"0ID2","","Flying Joseph Ranch Airport","May","US","US-ID"
"0ID3","","Coyote Run Airport","Mountain Home","US","US-ID"
"0ID4","","Black Butte Ranch Airport","Shoshone","US","US-ID"
"0ID5","","Ez Lope Ranch Airport","Oreana","US","US-ID"
"0ID7","","Z X Ranch Airport","Murphy","US","US-ID"
"0ID8","","Pinnacle Airport","Grangeville","US","US-ID"
"0ID9","","Corral Creek Airport","Helmer","US","US-ID"
"0II0","","Chuck's Airport","Albany","US","US-IN"
"0II2","","Creighton Airport","Bremen","US","US-IN"
"0II5","","Marshall Field","Chalmers","US","US-IN"
"0II7","","Frost Field","Greenfield","US","US-IN"
"0II8","","Sutton's Field","Lowell","US","US-IN"
"0II9","","Winters Airport","Martinsville","US","US-IN"
"0IL2","","Griffin Airport","Alma","US","US-IL"
"0IL7","","Davis Restricted Landing Area","Hammond","US","US-IL"
"0IL9","","Jack W Watson Airport","DeKalb","US","US-IL"
"0IN1","","Snider Field","Decker","US","US-IN"
"0IN2","","The Lazy K Airport","Tocsin","US","US-IN"
"0IN4","","Air Park Field","New Haven","US","US-IN"
"0IN5","","Byrne Field","Byrneville","US","US-IN"
"0IN9","","Parrish Airport","Mount Vernon","US","US-IN"
"0IS3","","Cady Aerial Restricted Landing Area","Rock Falls","US","US-IL"
"0J0","","Abbeville Municipal Airport","Abbeville","US","US-AL"
"0J8","","Flying Ten Airport","Archer","US","US-FL"
"0K6","","Dobie's Airport","Inola","US","US-OK"
"0KS0","","J V Ranch Airport","Osage City","US","US-KS"
"0KS4","","Norris Airport","Lawrence","US","US-KS"
"0KS5","","Oasis Aerodrome","Great Bend","US","US-KS"
"0KS7","","Mono Aircraft Airport","Cheney","US","US-KS"
"0KS8","","Pearce Field","Parsons","US","US-KS"
"0KS9","","Lmn 120 Airport","Douglas","US","US-KS"
"0KY0","","Owen Air Park","Owenton","US","US-KY"
"0KY1","","Arnemann Farms Airport","Franklin","US","US-KY"
"0KY4","","Cambron Field","Owensboro","US","US-KY"
"0KY5","","Boyce Wafer Farm Airport","Alvaton","US","US-KY"
"0KY7","","Clinton-Hickman County Airport","Clinton","US","US-KY"
"0L4","","Lida Junction Airport","Goldfield","US","US-NV"
"0L5","","Goldfield Airport","Goldfield","US","US-NV"
"0LA1","","Double H Ranch Airport","Gonzales","US","US-LA"
